Georgetown 	Town 	Essex 	Open town meeting 	8,470 	13.2 	12.9 	1838 	
Gill 	Town 	Franklin 	Open town meeting 	1,551 	14.8 	13.7 	1793 	
Gloucester 	City 	Essex 	Mayor-council 	29,729 	41.5 	26.2 	1623 	
Goshen 	Town 	Hampshire 	Open town meeting 	970 	17.7 	17.4 	1781 	
Gosnold 	Town 	Dukes 	Open town meeting 	70 	140.2 	13.2 	1864 	
Grafton 	Town 	Worcester 	Open town meeting 	19,664 	23.3 	22.7 	1735 	
Granby 	Town 	Hampshire 	Open town meeting 	6,110 	28.1 	27.8 	1768 	
Granville 	Town 	Hampden 	Open town meeting 	1,538 	43.0 	42.2 	1775 	
Great Barrington 	Town 	Berkshire 	Open town meeting 	7,172 	45.8 	44.8 	1761 	
Greenfield † 	City[4] 	Franklin 	Mayor-council 	17,768 	21.9 	21.4 	1775 	
Groton 	Town 	Middlesex 	Open town meeting 	11,315 	33.7 	32.8 	1655 	
Groveland 	Town 	Essex 	Open town meeting 	6,752 	9.4 	9.0 	1850 	
Hadley 	Town 	Hampshire 	Open town meeting 	5,325 	24.6 	23.1 	1661 	
Halifax 	Town 	Plymouth 	Open town meeting 	7,749 	17.3 	16.2 	1734 	
Hamilton 	Town 	Essex 	Open town meeting 	7,561 	14.9 	14.2 	1793 	
Hampden 	Town 	Hampden 	Open town meeting 	4,966 	19.7 	19.6 	1878 	
Hancock 	Town 	Berkshire 	Open town meeting 	757 	35.8 	35.7 	1776 	
Hanover 	Town 	Plymouth 	Open town meeting 	14,833 	15.7 	15.6 	1727 	
Hanson 	Town 	Plymouth 	Open town meeting 	10,639 	15.7 	15.0 	1820 	
Hardwick 	Town 	Worcester 	Open town meeting 	2,667 	40.8 	38.6 	1739 	
Harvard 	Town 	Worcester 	Open town meeting 	6,851 	27.0 	26.4 	1732 	
Harwich 	Town 	Barnstable 	Open town meeting 	13,440 	33.1 	20.9 	1694 	
Hatfield 	Town 	Hampshire 	Open town meeting 	3,352 	16.8 	15.9 	1670 	
Haverhill 	City 	Essex 	Mayor-council 	67,787 	35.7 	33.0 	1641 	
Hawley 	Town 	Franklin 	Open town meeting 	353 	30.9 	30.9 	1792 	
Heath 	Town 	Franklin 	Open town meeting 	723 	24.9 	24.9 	1785 	
Hingham 	Town 	Plymouth 	Open town meeting 	24,284 	26.3 	22.2 	1635 	
Hinsdale 	Town 	Berkshire 	Open town meeting 	1,919 	21.7 	20.7 	1804 	
Holbrook 	Town 	Norfolk 	Representative town meeting 	11,405 	7.4 	7.4 	1872 	
Holden 	Town 	Worcester 	Open town meeting 	19,905 	36.2 	35.0 	1741 	
Holland 	Town 	Hampden 	Open town meeting 	2,603 	13.1 	12.3 	1835 	
Holliston 	Town 	Middlesex 	Open town meeting 	14,996 	19.0 	18.7 	1724 	
Holyoke 	City 	Hampden 	Mayor-council 	38,238 	22.8 	21.2 	1850 	
Hopedale 	Town 	Worcester 	Open town meeting 	6,017 	5.3 	5.2 	1886 	
Hopkinton 	Town 	Middlesex 	Open town meeting 	18,758 	28.2 	26.6 	1715 	
Hubbardston 	Town 	Worcester 	Open town meeting 	4,328 	42.0 	41.0 	1775 	
Hudson 	Town 	Middlesex 	Open town meeting 	20,092 	11.8 	11.5 	1866 	
Hull 	Town 	Plymouth 	Open town meeting 	10,072 	26.9 	2.8 	1644 	
Huntington 	Town 	Hampshire 	Open town meeting 	2,094 	26.8 	26.3 	1775 	
Ipswich 	Town 	Essex 	Open town meeting 	13,785 	42.5 	32.1 	1634 	
Kingston 	Town 	Plymouth 	Open town meeting 	13,708 	20.5 	18.6 	1726 	
Lakeville 	Town 	Plymouth 	Open town meeting 	11,523 	36.1 	29.6 	1853 	
Lancaster 	Town 	Worcester 	Open town meeting 	8,441 	28.2 	27.7 	1653 	
Lanesborough 	Town 	Berkshire 	Open town meeting 	3,038 	29.6 	28.8 	1765 	
Lawrence † 	City 	Essex 	Mayor-council 	89,143 	7.4 	6.9 	1847 	
Lee 	Town 	Berkshire 	Representative town meeting 	5,788 	27.0 	26.1 	1777 	
Leicester 	Town 	Worcester 	Open town meeting 	11,087 	24.7 	23.4 	1714 	
Lenox 	Town 	Berkshire 	Open town meeting 	5,095 	21.7 	21.2 	1775 	
Leominster 	City 	Worcester 	Mayor-council 	43,782 	29.7 	28.9 	1740 	
Leverett 	Town 	Franklin 	Open town meeting 	1,865 	23.0 	22.9 	1774 	
Lexington 	Town 	Middlesex 	Representative town meeting 	34,454 	16.5 	16.4 	1713 	
Leyden 	Town 	Franklin 	Open town meeting 	734 	18.0 	17.9 	1809 	
Lincoln 	Town 	Middlesex 	Open town meeting 	7,014 	15.0 	14.4 	1754 	
Littleton 	Town 	Middlesex 	Open town meeting 	10,141 	17.6 	16.6 	1715 	
Longmeadow 	Town 	Hampden 	Open town meeting 	15,853 	9.7 	9.1 	1783 	
Lowell † 	City 	Middlesex 	Mayor-manager-council 	115,554 	14.5 	13.6 	1826 	
Ludlow 	Town 	Hampden 	Representative town meeting 	21,002 	28.2 	27.2 	1775 	
Lunenburg 	Town 	Worcester 	Open town meeting 	11,782 	27.7 	26.4 	1728 	
Lynn 	City 	Essex 	Mayor-council 	101,253 	13.5 	10.7 	1629 	
Lynnfield 	Town 	Essex 	Open town meeting 	13,000 	10.5 	9.9 	1814 	
Malden 	City 	Middlesex 	Mayor-council 	66,263 	5.1 	5.0 	1649 	
Manchester-by-the-Sea 	Town 	Essex 	Open town meeting 	5,395 	18.3 	9.2 	1645 	
Mansfield 	Town 	Bristol 	Open town meeting 	23,860 	20.7 	20.5 	1775 	
Marblehead 	Town 	Essex 	Open town meeting 	20,441 	19.6 	4.4 	1629 	
Marion 	Town 	Plymouth 	Open town meeting 	5,347 	26.1 	12.1 	1852 	
Marlborough 	City 	Middlesex 	Mayor-council 	41,793 	22.1 	20.9 	1660 	
Marshfield 	Town 	Plymouth 	Open town meeting 	25,825 	31.7 	28.5 	1640 	
Mashpee 	Town 	Barnstable 	Open town meeting 	15,060 	27.2 	23.4 	1870 	
Mattapoisett 	Town 	Plymouth 	Open town meeting 	6,508 	24.2 	17.4 	1857 	
Maynard 	Town 	Middlesex 	Open town meeting 	10,746 	5.4 	5.2 	1871 	
Medfield 	Town 	Norfolk 	Open town meeting 	12,799 	14.6 	14.5 	1651 	
Medford 	City 	Middlesex 	Mayor-council 	59,659 	8.7 	8.1 	1630 	
Medway 	Town 	Norfolk 	Open town meeting 	13,115 	11.5 	11.5 	1713 	
Melrose 	City 	Middlesex 	Mayor-council 	29,817 	4.8 	4.7 	1850 	
Mendon 	Town 	Worcester 	Open town meeting 	6,228 	18.3 	18.1 	1667 	
Merrimac 	Town 	Essex 	Open town meeting 	6,723 	8.8 	8.5 	1876 	
Methuen 	City[4] 	Essex 	Mayor-council 	53,039 	23.0 	22.2 	1725 	
Middleborough 	Town 	Plymouth 	Open town meeting 	24,245 	72.2 	69.1 	1669 	
Middlefield 	Town 	Hampshire 	Open town meeting 	385 	24.2 	24.2 	1783 	
Middleton 	Town 	Essex 	Open town meeting 	9,779 	14.5 	14.0 	1728 	
Milford 	Town 	Worcester 	Representative town meeting 	30,379 	14.9 	14.6 	1780 	
Millbury 	Town 	Worcester 	Open town meeting 	13,831 	16.3 	15.7 	1813 	
Millis 	Town 	Norfolk 	Open town meeting 	8,460 	12.3 	12.2 	1885 	
Millville 	Town 	Worcester 	Open town meeting 	3,174 	5.0 	4.9 	1916 	
Milton 	Town 	Norfolk 	Representative town meeting 	28,630 	13.3 	13.0 	1662 	
Monroe 	Town 	Franklin 	Open town meeting 	118 	10.8 	10.7 	1822 	
Monson 	Town 	Hampden 	Open town meeting 	8,150 	44.8 	44.1 	1775 	
Montague 	Town 	Franklin 	Representative town meeting 	8,580 	31.5 	30.2 	1775 	
Monterey 	Town 	Berkshire 	Open town meeting 	1,095 	27.4 	26.4 	1847 	
Montgomery 	Town 	Hampden 	Open town meeting 	819 	15.2 	15.1 	1780 	
Mount Washington 	Town 	Berkshire 	Open town meeting 	160 	22.4 	22.2 	1779 	
Nahant 	Town 	Essex 	Open town meeting 	3,334 	15.5 	1.0 	1853 	
Nantucket † 	Town 	Nantucket 	Open town meeting 	14,255 	105.3 	47.8 	1671 	
Natick 	Town 	Middlesex 	Representative town meeting 	37,006 	16.1 	15.1 	1781 	
Needham 	Town 	Norfolk 	Representative town meeting 	32,091 	12.7 	12.6 	1711 	
New Ashford 	Town 	Berkshire 	Open town meeting 	250 	13.5 	13.4 	1835 	
New Bedford 	City 	Bristol 	Mayor-council 	101,079 	24.1 	20.0 	1787 	
New Braintree 	Town 	Worcester 	Open town meeting 	996 	20.9 	20.7 	1775 	
New Marlborough 	Town 	Berkshire 	Open town meeting 	1,528 	47.9 	46.9 	1775 	
New Salem 	Town 	Franklin 	Open town meeting 	983 	58.6 	44.8 	1775 	
Newbury 	Town 	Essex 	Open town meeting 	6,716 	26.3 	23.4 	1635 	
Newburyport 	City 	Essex 	Mayor-council 	18,289 	10.7 	8.3 	1764 	
Newton 	City 	Middlesex 	Mayor-council[7] 	88,923 	18.2 	17.8 	1688 	
Norfolk 	Town 	Norfolk 	Open town meeting 	11,662 	15.2 	14.8 	1870 	
North Adams 	City 	Berkshire 	Mayor-council 	12,961 	20.6 	20.4 	1878 	
North Andover 	Town 	Essex 	Open town meeting 	30,915 	27.8 	26.3 	1855 	
North Attleborough 	City 	Bristol 	Manager-council 	30,834 	19.1 	18.6 	1887 	
North Brookfield 	Town 	Worcester 	Open town meeting 	4,735 	21.7 	21.1 	1812 	
North Reading 	Town 	Middlesex 	Open town meeting 	15,554 	13.5 	13.3 	1853 	
Northampton † 	City 	Hampshire 	Mayor-council 	29,571 	35.8 	34.2 	1656 	
Northborough 	Town 	Worcester 	Open town meeting 	15,741 	18.8 	18.5 	1775 	
Northbridge 	Town 	Worcester 	Open town meeting 	16,335 	18.1 	17.2 	1775 	
Northfield 	Town 	Franklin 	Open town meeting 	2,866 	35.4 	34.3 	1723 	
Norton 	Town 	Bristol 	Open town meeting 	19,202 	29.8 	28.7 	1711 	
Norwell 	Town 	Plymouth 	Open town meeting 	11,351 	21.2 	20.9 	1849 	
Norwood 	Town 	Norfolk 	Representative town meeting 	31,611 	10.6 	10.5 	1872 	
Oak Bluffs 	Town 	Dukes 	Open town meeting 	5,341 	26.0 	7.4 	1880 	
Oakham 	Town 	Worcester 	Open town meeting 	1,851 	21.5 	21.1 	1775 	
Orange 	Town 	Franklin 	Open town meeting 	7,569 	36.0 	35.1 	1810 	
Orleans 	Town 	Barnstable 	Open town meeting 	6,307 	22.7 	14.1 	1797 	
Otis 	Town 	Berkshire 	Open town meeting 	1,634 	38.0 	35.6 	1773 	
Oxford 	Town 	Worcester 	Open town meeting 	13,347 	27.5 	26.6 	1713 	
Palmer 	City[4] 	Hampden 	Council-manager 	12,448 	32.0 	31.6 	1775 	Although it is a city, the official name is Town of Palmer. Smallest city in Massachusetts by population.
Paxton 	Town 	Worcester 	Open town meeting 	5,004 	15.5 	14.7 	1775 	
Peabody 	City 	Essex 	Mayor-council 	54,481 	16.8 	16.2 	1868 	
Pelham 	Town 	Hampshire 	Open town meeting 	1,280 	26.5 	25.1 	1743 	
Pembroke 	Town 	Plymouth 	Open town meeting 	18,361 	23.5 	21.8 	1712 	
Pepperell 	Town 	Middlesex 	Open town meeting 	11,604 	23.2 	22.6 	1775 	
Peru 	Town 	Berkshire 	Open town meeting 	814 	26.0 	25.9 	1771 	
Petersham 	Town 	Worcester 	Open town meeting 	1,194 	68.3 	54.2 	1754 	
Phillipston 	Town 	Worcester 	Open town meeting 	1,726 	24.6 	24.3 	1786 	
Pittsfield † 	City 	Berkshire 	Mayor-council 	43,927 	42.5 	40.5 	1761 	
Plainfield 	Town 	Hampshire 	Open town meeting 	633 	21.3 	21.1 	1807 	
Plainville 	Town 	Norfolk 	Open town meeting 	9,945 	11.5 	11.0 	1905 	
Plymouth † 	Town 	Plymouth 	Representative town meeting 	61,217 	134.0 	96.5 	1620 	
Plympton 	Town 	Plymouth 	Open town meeting 	2,930 	15.1 	14.8 	1707 	
Princeton 	Town 	Worcester 	Open town meeting 	3,495 	35.8 	35.4 	1771 	
Provincetown 	Town 	Barnstable 	Open town meeting 	3,664 	17.5 	9.7 	1727 	
Quincy 	City 	Norfolk 	Mayor-council 	101,636 	26.9 	16.6 	1792 	
Randolph 	City[4] 	Norfolk 	Council-manager 	34,984 	10.5 	10.1 	1793 	Although it is a city, the official name is Town of Randolph
Raynham 	Town 	Bristol 	Open town meeting 	15,142 	20.9 	20.5 	1731 	
Reading 	Town 	Middlesex 	Representative town meeting 	25,518 	9.9 	9.9 	1644 	
Rehoboth 	Town 	Bristol 	Open town meeting 	12,502 	46.8 	46.5 	1645 	
Revere 	City 	Suffolk 	Mayor-council 	62,186 	10.1 	5.7 	1846 	
Richmond 	Town 	Berkshire 	Open town meeting 	1,407 	19.0 	18.7 	1765 	
Rochester 	Town 	Plymouth 	Open town meeting 	5,717 	36.4 	33.9 	1686 	
Rockland 	Town 	Plymouth 	Open town meeting 	17,803 	10.1 	10.0 	1874 	
Rockport 	Town 	Essex 	Open town meeting 	6,992 	17.5 	7.0 	1840 	
Rowe 	Town 	Franklin 	Open town meeting 	424 	24.0 	23.4 	1785 	
Rowley 	Town 	Essex 	Open town meeting 	6,161 	20.3 	18.2 	1639 	
Royalston 	Town 	Worcester 	Open town meeting 	1,250 	42.5 	41.9 	1765 	
Russell 	Town 	Hampden 	Open town meeting 	1,643 	17.8 	17.3 	1792 	
Rutland 	Town 	Worcester 	Open town meeting 	9,049 	36.4 	35.3 	1713 	
Salem † 	City 	Essex 	Mayor-council 	44,480 	18.3 	8.3 	1626 	
Salisbury 	Town 	Essex 	Open town meeting 	9,236 	17.9 	15.4 	1639 	
Sandisfield 	Town 	Berkshire 	Open town meeting 	989 	53.0 	51.8 	1762 	
Sandwich 	Town 	Barnstable 	Open town meeting 	20,259 	44.2 	42.7 	1638 	
Saugus 	Town 	Essex 	Representative town meeting 	28,619 	11.8 	10.8 	1815 	
Savoy 	Town 	Berkshire 	Open town meeting 	645 	36.0 	35.8 	1797 	
Scituate 	Town 	Plymouth 	Open town meeting 	19,063 	31.8 	17.6 	1636 	
Seekonk 	Town 	Bristol 	Open town meeting 	15,531 	18.3 	18.2 	1812 	
Sharon 	Town 	Norfolk 	Open town meeting 	18,575 	24.2 	23.3 	1775 	
Sheffield 	Town 	Berkshire 	Open town meeting 	3,327 	48.6 	47.5 	1733 	
Shelburne 	Town 	Franklin 	Open town meeting 	1,884 	23.4 	23.2 	1775 	
Sherborn 	Town 	Middlesex 	Open town meeting 	4,401 	16.2 	16.0 	1674 	
Shirley 	Town 	Middlesex 	Open town meeting 	7,431 	15.9 	15.8 	1775 	
Shrewsbury 	Town 	Worcester 	Representative town meeting 	38,325 	21.7 	20.7 	1727 	
Shutesbury 	Town 	Franklin 	Open town meeting 	1,717 	27.2 	26.6 	1761 	
Somerset 	Town 	Bristol 	Open town meeting 	18,303 	12.0 	8.1 	1790 	
Somerville 	City 	Middlesex 	Mayor-council 	81,045 	4.2 	4.1 	1842 	
South Hadley 	Town 	Hampshire 	Representative town meeting 	18,150 	18.4 	17.7 	1775 	
Southampton 	Town 	Hampshire 	Open town meeting 	6,224 	29.1 	28.2 	1775 	
Southborough 	Town 	Worcester 	Open town meeting 	10,450 	15.7 	14.2 	1727 	
Southbridge 	City[4] 	Worcester 	Council-manager 	17,740 	20.9 	20.2 	1816 	Although it is a city, the official name is Town of Southbridge
Southwick 	Town 	Hampden 	Open town meeting 	9,232 	31.7 	30.8 	1775 	
Spencer 	Town 	Worcester 	Open town meeting 	11,992 	34.1 	32.9 	1775 	
Springfield † 	City 	Hampden 	Mayor-council 	155,929 	33.1 	31.9 	1636 	
Sterling 	Town 	Worcester 	Open town meeting 	7,985 	31.6 	30.5 	1781 	
Stockbridge 	Town 	Berkshire 	Open town meeting 	2,018 	23.7 	22.7 	1739 	
Stoneham 	Town 	Middlesex 	Open town meeting 	23,244 	6.7 	6.2 	1725 	
Stoughton 	Town 	Norfolk 	Representative town meeting 	29,281 	16.3 	16.0 	1726 	
Stow 	Town 	Middlesex 	Open town meeting 	7,174 	18.1 	17.6 	1683 	
Sturbridge 	Town 	Worcester 	Open town meeting 	9,867 	39.0 	37.4 	1738 	
Sudbury 	Town 	Middlesex 	Open town meeting 	18,934 	24.6 	24.4 	1639 	
Sunderland 	Town 	Franklin 	Open town meeting 	3,663 	14.7 	14.2 	1714 	
Sutton 	Town 	Worcester 	Open town meeting 	9,357 	33.9 	32.4 	1714 	
Swampscott 	Town 	Essex 	Representative town meeting 	15,111 	6.7 	3.1 	1852 	
Swansea 	Town 	Bristol 	Open town meeting 	17,144 	25.5 	23.1 	1667 	
Taunton † 	City 	Bristol 	Mayor-council 	59,408 	48.4 	46.7 	1639 	
Templeton 	Town 	Worcester 	Open town meeting 	8,149 	32.4 	32.0 	1762 	
Tewksbury 	Town 	Middlesex 	Open town meeting 	31,342 	21.1 	20.7 	1734 	
Tisbury 	Town 	Dukes 	Open town meeting 	4,815 	19.1 	6.5 	1671 	
Tolland 	Town 	Hampden 	Open town meeting 	471 	32.8 	31.5 	1810 	
Topsfield 	Town 	Essex 	Open town meeting 	6,569 	12.8 	11.9 	1650 	
Townsend 	Town 	Middlesex 	Open town meeting 	9,127 	33.1 	32.9 	1732 	
Truro 	Town 	Barnstable 	Open town meeting 	2,454 	26.3 	21.1 	1709 	
Tyngsborough 	Town 	Middlesex 	Open town meeting 	12,380 	18.1 	16.9 	1809 	
Tyringham 	Town 	Berkshire 	Open town meeting 	427 	18.9 	18.6 	1762 	
Upton 	Town 	Worcester 	Open town meeting 	8,000 	21.7 	21.5 	1735 	
Uxbridge 	Town 	Worcester 	Open town meeting 	14,162 	30.4 	29.5 	1727 	
Wakefield 	Town 	Middlesex 	Open town meeting 	27,090 	7.9 	7.5 	1812 	
Wales 	Town 	Hampden 	Open town meeting 	1,832 	15.9 	15.7 	1762 	
Walpole 	Town 	Norfolk 	Representative town meeting 	26,383 	21.0 	20.5 	1724 	
Waltham 	City 	Middlesex 	Mayor-council 	65,218 	13.8 	12.7 	1738 	
Ware 	Town 	Hampshire 	Open town meeting 	10,066 	40.0 	34.4 	1775 	
